,Title,Duration,Rating,Voting,Genre
0, Kraven the Hunter,2h 7m,5.5,52000.0,Action
1, Gladiator II,2h 28m,6.5,224000.0,Action
2, Twisters,2h 2m,6.5,165000.0,Action
3, Sonic the Hedgehog 3,1h 50m,6.9,56000.0,Action
4, Venom: The Last Dance,1h 50m,6.0,114000.0,Action
5, Deadpool & Wolverine,2h 8m,7.6,487000.0,Action
6, Pushpa: The Rule - Part 2,3h 21m,6.1,55000.0,Action
7, Dune: Part Two,2h 46m,8.5,620000.0,Action
8, The Ministry of Ungentlemanly Warfare,2h 2m,6.8,134000.0,Action
9, Freaky Tales,1h 46m,7.1,743000.0,Action
10, The Beekeeper,1h 45m,6.3,155000.0,Action
11, Carry-On,1h 59m,6.5,163000.0,Action
12, Furiosa: A Mad Max Saga,2h 28m,7.5,283000.0,Action
13, Civil War,1h 49m,7.0,235000.0,Action
14, Fight or Flight,1h 37m,6.4,5900.0,Action
15, Solo Leveling: ReAwakening,2h 1m,8.9,11000.0,Action
16, Borderlands,1h 41m,4.7,47000.0,Action
17, Elevation,1h 31m,5.6,21000.0,Action
18, The Fall Guy,2h 6m,6.8,219000.0,Action
19, The Count of Monte-Cristo,2h 58m,7.6,33000.0,Action
20, Transformers One,1h 44m,7.6,49000.0,Action
21, Hellboy: The Crooked Man,1h 39m,4.5,13000.0,Action
22, The Lord of the Rings: The War of the Rohirrim,2h 14m,6.3,29000.0,Action
23, The Crow,1h 51m,4.7,34000.0,Action
24, William Tell,2h 13m,5.7,2200.0,Action
25, Madame Web,1h 56m,4.0,100000.0,Action
26, Rebel Ridge,2h 11m,6.8,87000.0,Action
27, Road House,2h 1m,6.2,167000.0,Action
28, Bad Boys: Ride or Die,1h 55m,6.5,99000.0,Action
29, Kingdom of the Planet of the Apes,2h 25m,6.9,151000.0,Action
30, Godzilla x Kong: The New Empire,1h 55m,6.0,121000.0,Action
31, Argylle,2h 19m,5.6,92000.0,Action
32, Marco,2h 25m,6.9,21000.0,Action
33, Damsel,1h 50m,6.1,109000.0,Action
34, Red One,2h 3m,6.3,139000.0,Action
35, Homestead,1h 52m,5.3,3500.0,Action
36, Love Lies Bleeding,1h 44m,6.6,56000.0,Action
37, The Killer's Game,1h 44m,5.8,17000.0,Action
38, Land of Bad,1h 53m,6.6,51000.0,Action
39, Monkey Man,2h 1m,6.8,91000.0,Action
40, Uglies,1h 40m,4.7,32000.0,Action
41, Old Guy,1h 34m,5.2,2200.0,Action
42, Dirty Angels,1h 44m,4.3,3300.0,Action
43, Blitz,2h,6.2,16000.0,Action
44, The Union,1h 47m,5.4,53000.0,Action
45, Kung Fu Panda 4,1h 34m,6.3,67000.0,Action
46, Toofan,2h 25m,7.4,7500.0,Action
47, Thelma,1h 38m,7.0,22000.0,Action
48, Arcadian,1h 32m,5.5,23000.0,Action
49, Attack on Titan the Movie: The Last Attack,2h 25m,9.2,15000.0,Action
50, Gunner,1h 46m,3.2,2500.0,Action
51, Lift,1h 47m,5.5,49000.0,Action
52, Werewolves,1h 33m,4.4,6300.0,Action
53, The Killer,2h 6m,5.7,13000.0,Action
54, Aftermath,1h 37m,5.1,3800.0,Action
55, Beverly Hills Cop: Axel F,1h 58m,6.4,81000.0,Action
56, Maharaja,2h 21m,8.4,66000.0,Action
57, Survive,1h 30m,4.6,2300.0,Action
58, The Instigators,1h 41m,6.2,37000.0,Action
59, Twilight of the Warriors: Walled In,2h 6m,7.0,9300.0,Action
60, Drive-Away Dolls,1h 24m,5.4,23000.0,Action
61, Absolution,1h 52m,5.2,7700.0,Action
62, Apocalypse Z: The Beginning of the End,1h 57m,6.1,20000.0,Action
63, Azrael,1h 26m,5.4,10000.0,Action
64, Classified,1h 45m,3.6,2400.0,Action
65, Atlas,1h 58m,5.6,56000.0,Action
66, The Prosecutor,1h 57m,6.7,1700.0,Action
67, Rebel Moon - Part Two: The Scargiver,2h 2m,5.3,59000.0,Action
68, Descendants: The Rise of Red,1h 31m,4.7,7000.0,Action
69, Kalki 2898 AD,3h,7.0,66000.0,Action
70, Long Gone Heroes,1h 41m,5.2,1000.0,Action
71, Brothers,1h 29m,5.4,13000.0,Action
72, Canary Black,1h 41m,5.3,11000.0,Action
73, Under Paris,1h 44m,5.2,36000.0,Action
74, Trigger Warning,1h 46m,4.6,19000.0,Action
75, Armor,1h 29m,3.6,3700.0,Action
76, Watchmen: Chapter I,1h 23m,7.0,6400.0,Action
77, One More Shot,1h 43m,5.4,3600.0,Action
78, Amaran,2h 47m,8.2,18000.0,Action
79, The Shadow Strays,2h 24m,6.5,9100.0,Action
80, Jackpot!,1h 46m,5.8,30000.0,Action
81, Cash Out,1h 32m,4.8,2900.0,Action
82, Weekend in Taipei,1h 40m,5.7,4500.0,Action
83, The Silent Hour,1h 39m,6.1,7300.0,Action
84, Duchess,1h 54m,4.6,1300.0,Action
85, Watchmen: Chapter II,1h 30m,7.0,2900.0,Action
86, Red Right Hand,1h 51m,5.5,5800.0,Action
87, Chief of Station,1h 37m,4.7,4600.0,Action
88, Fighter,2h 46m,6.2,52000.0,Action
89, Boneyard,1h 36m,4.1,4900.0,Action
90, Rogue Elements: A Ryan Drake Story,44m,4.7,946000.0,Action
91, Hitpig,1h 26m,5.1,905000.0,Action
92, Aavesham,2h 35m,7.8,28000.0,Action
93, Karma,2h 47m,8.0,1400.0,Action
94, Harbin,1h 48m,6.4,558000.0,Action
95, Baby Invasion,1h 20m,4.6,388000.0,Action
96, Uprising,2h 6m,6.6,5400.0,Action
97, No Way Up,1h 30m,4.6,10000.0,Action
98, Baby John,2h 39m,5.4,17000.0,Action
99, Megamind vs The Doom Syndicate,1h 23m,2.5,5500.0,Action
0, Anora,2h 19m,7.5,174000.0,Comedy
1, Moana 2,1h 40m,6.6,98000.0,Comedy
2, A Real Pain,1h 30m,7.1,84000.0,Comedy
3, Sonic the Hedgehog 3,1h 50m,6.9,56000.0,Comedy
4, Y2K,1h 31m,4.8,12000.0,Comedy
5, Deadpool & Wolverine,2h 8m,7.6,487000.0,Comedy
6, The Ministry of Ungentlemanly Warfare,2h 2m,6.8,134000.0,Comedy
7, Freaky Tales,1h 46m,7.1,743000.0,Comedy
8, The Day the Earth Blew Up: A Looney Tunes Movie,1h 31m,7.0,3600.0,Comedy
9, Riff Raff,1h 43m,5.7,2600.0,Comedy
10, Fight or Flight,1h 37m,6.4,5900.0,Comedy
11, Emilia Pérez,2h 12m,5.4,87000.0,Comedy
12, Borderlands,1h 41m,4.7,47000.0,Comedy
13, Paddington in Peru,1h 46m,6.7,19000.0,Comedy
14, Sacramento,1h 24m,5.6,519000.0,Comedy
15, The Fall Guy,2h 6m,6.8,219000.0,Comedy
16, Saturday Night,1h 49m,6.9,30000.0,Comedy
17, Beetlejuice Beetlejuice,1h 45m,6.7,146000.0,Comedy
18, Despicable Me 4,1h 34m,6.2,64000.0,Comedy
19, Challengers,2h 11m,7.0,153000.0,Comedy
20, Inside Out 2,1h 36m,7.5,215000.0,Comedy
21, Kinds of Kindness,2h 44m,6.5,59000.0,Comedy
22, A Different Man,1h 52m,6.9,28000.0,Comedy
23, Bad Boys: Ride or Die,1h 55m,6.5,99000.0,Comedy
24, The Idea of You,1h 55m,6.3,73000.0,Comedy
25, My Old Ass,1h 29m,6.9,38000.0,Comedy
26, Argylle,2h 19m,5.6,92000.0,Comedy
27, It's What's Inside,1h 43m,6.6,41000.0,Comedy
28, Dead Talents Society,1h 51m,7.0,1600.0,Comedy
29, IF,1h 44m,6.4,58000.0,Comedy
30, A Nice Indian Boy,1h 36m,7.8,303000.0,Comedy
31, Ricky Stanicky,1h 53m,6.2,56000.0,Comedy
32, Ghostbusters: Frozen Empire,1h 55m,6.1,93000.0,Comedy
33, Red One,2h 3m,6.3,139000.0,Comedy
34, Fly Me to the Moon,2h 12m,6.6,49000.0,Comedy
35, Friendship,1h 40m,7.4,256000.0,Comedy
36, Nightbitch,1h 39m,5.5,19000.0,Comedy
37, Bob Trevino Likes It,1h 41m,8.0,692000.0,Comedy
38, The Killer's Game,1h 44m,5.8,17000.0,Comedy
39, Snack Shack,1h 52m,7.0,12000.0,Comedy
40, My Dead Friend Zoe,1h 43m,6.7,2000.0,Comedy
41, Old Guy,1h 34m,5.2,2200.0,Comedy
42, Kneecap,1h 45m,7.6,17000.0,Comedy
43, F*** Marry Kill,1h 37m,5.3,2200.0,Comedy
44, Miller's Girl,1h 33m,5.2,23000.0,Comedy
45, The Union,1h 47m,5.4,53000.0,Comedy
46, Kung Fu Panda 4,1h 34m,6.3,67000.0,Comedy
47, Chosen Family,1h 28m,4.7,359000.0,Comedy
48, Mean Girls,1h 52m,5.5,37000.0,Comedy
49, Thelma,1h 38m,7.0,22000.0,Comedy
50, A Family Affair,1h 51m,5.4,36000.0,Comedy
51, Misericordia,1h 44m,6.9,1900.0,Comedy
52, Spermageddon,1h 20m,5.8,751000.0,Comedy
53, Lift,1h 47m,5.5,49000.0,Comedy
54, Upgraded,1h 44m,6.1,29000.0,Comedy
55, Holy Cow,1h 32m,7.2,1400.0,Comedy
56, Beverly Hills Cop: Axel F,1h 58m,6.4,81000.0,Comedy
57, The Instigators,1h 41m,6.2,37000.0,Comedy
58, Distant,1h 27m,5.7,3100.0,Comedy
59, The Garfield Movie,1h 41m,5.7,24000.0,Comedy
60, The Marching Band,1h 43m,7.4,2600.0,Comedy
61, Mittran Da Challeya Truck Ni,2h 11m,8.1,862000.0,Comedy
62, Spellbound,1h 49m,5.6,7200.0,Comedy
63, Incoming,1h 31m,5.8,14000.0,Comedy
64, Drive-Away Dolls,1h 24m,5.4,23000.0,Comedy
65, Harold and the Purple Crayon,1h 30m,5.7,8200.0,Comedy
66, Eephus,1h 39m,7.2,460000.0,Comedy
67, Greedy People,1h 52m,6.2,11000.0,Comedy
68, Get Away,1h 26m,5.3,6600.0,Comedy
69, Wallace & Gromit: Vengeance Most Fowl,1h 22m,7.5,34000.0,Comedy
70, Sister Midnight,1h 47m,6.6,362000.0,Comedy
71, Hard Truths,1h 37m,7.3,5000.0,Comedy
72, Night of the Zoopocalypse,1h 31m,6.1,488000.0,Comedy
73, Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write about a Serial Killer,1h 42m,8.6,92000.0,Comedy
74, Goodrich,1h 50m,6.3,5100.0,Comedy
75, Rumours,1h 44m,5.0,4500.0,Comedy
76, Brothers,1h 29m,5.4,13000.0,Comedy
77, Your Monster,1h 43m,6.4,5700.0,Comedy
78, The Mouse Trap,1h 20m,2.4,3200.0,Comedy
79, Superboys of Malegaon,2h 7m,8.0,1400.0,Comedy
80, How to Make Millions Before Grandma Dies,2h 5m,8.0,13000.0,Comedy
81, Teri Baaton Mein Aisa Uljha Jiya,2h 21m,6.2,54000.0,Comedy
82, Bloody Axe Wound,1h 23m,4.9,781000.0,Comedy
83, Ghostlight,1h 55m,7.6,5800.0,Comedy
84, Lisa Frankenstein,1h 41m,6.1,28000.0,Comedy
85, Stree 2: Sarkate Ka Aatank,2h 27m,6.9,42000.0,Comedy
86, Jackpot!,1h 46m,5.8,30000.0,Comedy
87, Unfrosted,1h 37m,5.5,35000.0,Comedy
88, Modi: Three Days on the Wing of Madness,1h 50m,5.6,506000.0,Comedy
89, When Fall Is Coming,1h 44m,6.8,1500.0,Comedy
90, The 4:30 Movie,1h 27m,6.0,3600.0,Comedy
91, Winner,1h 43m,6.5,2400.0,Comedy
92, Dìdi,1h 33m,7.3,12000.0,Comedy
93, The Visitor,1h 41m,4.4,204000.0,Comedy
94, Mother of the Bride,1h 28m,4.8,17000.0,Comedy
95, Piece by Piece,1h 33m,6.9,5300.0,Comedy
96, Sketch,1h 32m,8.4,47000.0,Comedy
97, The Uninvited,1h 37m,5.9,154000.0,Comedy
98, Four Mothers,1h 29m,7.4,152000.0,Comedy
99, Manamey,2h 35m,5.4,657000.0,Comedy
0, Anora,2h 19m,7.5,174000.0,Drama
1, Moana 2,1h 40m,6.6,98000.0,Drama
2, A Real Pain,1h 30m,7.1,84000.0,Drama
3, Sonic the Hedgehog 3,1h 50m,6.9,56000.0,Drama
4, Y2K,1h 31m,4.8,12000.0,Drama
5, Deadpool & Wolverine,2h 8m,7.6,487000.0,Drama
6, The Ministry of Ungentlemanly Warfare,2h 2m,6.8,134000.0,Drama
7, Freaky Tales,1h 46m,7.1,743000.0,Drama
8, The Day the Earth Blew Up: A Looney Tunes Movie,1h 31m,7.0,3600.0,Drama
9, Riff Raff,1h 43m,5.7,2600.0,Drama
10, Fight or Flight,1h 37m,6.4,5900.0,Drama
11, Emilia Pérez,2h 12m,5.4,87000.0,Drama
12, Borderlands,1h 41m,4.7,47000.0,Drama
13, Paddington in Peru,1h 46m,6.7,19000.0,Drama
14, Sacramento,1h 24m,5.6,519000.0,Drama
15, The Fall Guy,2h 6m,6.8,219000.0,Drama
16, Saturday Night,1h 49m,6.9,30000.0,Drama
17, Beetlejuice Beetlejuice,1h 45m,6.7,146000.0,Drama
18, Despicable Me 4,1h 34m,6.2,64000.0,Drama
19, Challengers,2h 11m,7.0,153000.0,Drama
20, Inside Out 2,1h 36m,7.5,215000.0,Drama
21, Kinds of Kindness,2h 44m,6.5,59000.0,Drama
22, A Different Man,1h 52m,6.9,28000.0,Drama
23, Bad Boys: Ride or Die,1h 55m,6.5,99000.0,Drama
24, The Idea of You,1h 55m,6.3,73000.0,Drama
25, My Old Ass,1h 29m,6.9,38000.0,Drama
26, Argylle,2h 19m,5.6,92000.0,Drama
27, It's What's Inside,1h 43m,6.6,41000.0,Drama
28, Dead Talents Society,1h 51m,7.0,1600.0,Drama
29, IF,1h 44m,6.4,58000.0,Drama
30, A Nice Indian Boy,1h 36m,7.8,303000.0,Drama
31, Ricky Stanicky,1h 53m,6.2,56000.0,Drama
32, Ghostbusters: Frozen Empire,1h 55m,6.1,93000.0,Drama
33, Red One,2h 3m,6.3,139000.0,Drama
34, Fly Me to the Moon,2h 12m,6.6,49000.0,Drama
35, Friendship,1h 40m,7.4,256000.0,Drama
36, Nightbitch,1h 39m,5.5,19000.0,Drama
37, Bob Trevino Likes It,1h 41m,8.0,692000.0,Drama
38, The Killer's Game,1h 44m,5.8,17000.0,Drama
39, Snack Shack,1h 52m,7.0,12000.0,Drama
40, My Dead Friend Zoe,1h 43m,6.7,2000.0,Drama
41, Old Guy,1h 34m,5.2,2200.0,Drama
42, Kneecap,1h 45m,7.6,17000.0,Drama
43, F*** Marry Kill,1h 37m,5.3,2200.0,Drama
